1.1.1,Ensure that the API server pod specification file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/kube-apiserver.yaml; then stat -c %a /etc/kubernetes/manifests/kube-apiserver.yaml; fi',['600\n']
1.1.2,Ensure that the API server pod specification file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/kube-apiserver.yaml; then stat -c %U:%G /etc/kubernetes/manifests/kube-apiserver.yaml; fi',['root:root\n']
1.1.3,Ensure that the controller manager pod specification file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/kube-controller-manager.yaml; then stat -c permissions=%a /etc/kubernetes/manifests/kube-controller-manager.yaml; fi',['permissions=600\n']
1.1.4,Ensure that the controller manager pod specification file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/kube-controller-manager.yaml; then stat -c %U:%G /etc/kubernetes/manifests/kube-controller-manager.yaml; fi',['root:root\n']
1.1.5,Ensure that the scheduler pod specification file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/kube-scheduler.yaml; then stat -c permissions=%a /etc/kubernetes/manifests/kube-scheduler.yaml; fi',['permissions=600\n']
1.1.6,Ensure that the scheduler pod specification file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/kube-scheduler.yaml; then stat -c %U:%G /etc/kubernetes/manifests/kube-scheduler.yaml; fi',['root:root\n']
1.1.7,Ensure that the etcd pod specification file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/etcd.yaml; then find /etc/kubernetes/manifests/etcd.yaml -name '*etcd*' | xargs stat -c permissions=%a; fi',['permissions=600\n']
1.1.8,Ensure that the etcd pod specification file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/manifests/etcd.yaml; then find /etc/kubernetes/manifests/etcd.yaml -name '*etcd*' | xargs stat -c %U:%G; fi',['root:root\n']
1.1.9,Ensure that the Container Network Interface file permissions are set to 644 or more restrictive (Manual),"ps -ef | grep kubelet | grep -- --cni-conf-dir | sed 's%.*cni-conf-dir[= ]\([^ ]*\).*%\1%' | xargs -I{} find {} -mindepth 1 | xargs --no-run-if-empty stat -c permissions=%a
find /var/lib/cni/networks -type f 2> /dev/null | xargs --no-run-if-empty stat -c permissions=%a
",[]
1.1.10,Ensure that the Container Network Interface file ownership is set to root:root (Manual),"ps -ef | grep kubelet | grep -- --cni-conf-dir | sed 's%.*cni-conf-dir[= ]\([^ ]*\).*%\1%' | xargs -I{} find {} -mindepth 1 | xargs --no-run-if-empty stat -c %U:%G
find /var/lib/cni/networks -type f 2> /dev/null | xargs --no-run-if-empty stat -c %U:%G
",[]
1.1.11,Ensure that the etcd data directory permissions are set to 700 or more restrictive (Automated),ps -ef | grep etcd | grep -- --data-dir | sed 's%.*data-dir[= ]\([^ ]*\).*%\1%' | xargs stat -c permissions=%a,['permissions=700\n']
1.1.12,Ensure that the etcd data directory ownership is set to etcd:etcd (Automated),ps -ef | grep etcd | grep -- --data-dir | sed 's%.*data-dir[= ]\([^ ]*\).*%\1%' | xargs stat -c %U:%G,['root:root\n']
1.1.13,Ensure that the admin.conf file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/admin.conf; then stat -c permissions=%a /etc/kubernetes/admin.conf; fi',['permissions=600\n']
1.1.14,Ensure that the admin.conf file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/admin.conf; then stat -c %U:%G /etc/kubernetes/admin.conf; fi',['root:root\n']
1.1.15,Ensure that the scheduler.conf file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/scheduler.conf; then stat -c permissions=%a /etc/kubernetes/scheduler.conf; fi',['permissions=600\n']
1.1.16,Ensure that the scheduler.conf file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/scheduler.conf; then stat -c %U:%G /etc/kubernetes/scheduler.conf; fi',['root:root\n']
1.1.17,Ensure that the controller-manager.conf file permissions are set to 644 or more restrictive (Automated),/bin/sh -c 'if test -e /etc/kubernetes/controller-manager.conf; then stat -c permissions=%a /etc/kubernetes/controller-manager.conf; fi',['permissions=600\n']
1.1.18,Ensure that the controller-manager.conf file ownership is set to root:root (Automated),/bin/sh -c 'if test -e /etc/kubernetes/controller-manager.conf; then stat -c %U:%G /etc/kubernetes/controller-manager.conf; fi',['root:root\n']
1.1.19,Ensure that the Kubernetes PKI directory and file ownership is set to root:root (Automated),find /etc/kubernetes/pki/ | xargs stat -c %U:%G,"['root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n', 'root:root\n']"
1.1.20,Ensure that the Kubernetes PKI certificate file permissions are set to 644 or more restrictive (Manual),find /etc/kubernetes/pki/ -name '*.crt' | xargs stat -c permissions=%a,"['permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n', 'permissions=644\n']"
1.1.21,Ensure that the Kubernetes PKI key file permissions are set to 600 (Manual),find /etc/kubernetes/pki/ -name '*.key' | xargs stat -c permissions=%a,"['permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n', 'permissions=600\n']"
1.2.1,Ensure that the --anonymous-auth argument is set to false (Manual),/bin/ps -ef | grep kube-apiserver | grep -v grep,"['root       535   507  4  2021 ?        1-00:36:47 kube-apiserver --advertise-address=192.168.30.68 --allow-privileged=true --authorization-mode=Node,RBAC --client-ca-file=/etc/kubernetes/pki/ca.crt --enable-admission-plugins=NodeRestriction --enable-bootstrap-token-auth=true --etcd-cafile=/etc/kubernetes/pki/etcd/ca.crt --etcd-certfile=/etc/kubernetes/pki/apiserver-etcd-client.crt --etcd-keyfile=/etc/kubernetes/pki/apiserver-etcd-client.key --etcd-servers=https://127.0.0.1:2379 --insecure-port=0 --kubelet-client-certificate=/etc/kubernetes/pki/apiserver-kubelet-client.crt --kubelet-client-key=/etc/kubernetes/pki/apiserver-kubelet-client.key --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname --proxy-client-cert-file=/etc/kubernetes/pki/front-proxy-client.crt --proxy-client-key-file=/etc/kubernetes/pki/front-proxy-client.key --requestheader-allowed-names=front-proxy-client --requestheader-client-ca-file=/etc/kubernetes/pki/front-proxy-ca.crt --requestheader-extra-headers-prefix=X-Remote-Extra- --requestheader-group-headers=X-Remote-Group --requestheader-username-headers=X-Remote-User --secure-port=6443 --service-account-issuer=https://kubernetes.default.svc.cluster.local --service-account-key-file=/etc/kubernetes/pki/sa.pub --service-account-signing-key-file=/etc/kubernetes/pki/sa.key --service-cluster-ip-range=10.96.0.0/12 --tls-cert-file=/etc/kubernetes/pki/apiserver.crt --tls-private-key-file=/etc/kubernetes/pki/apiserver.key\n']"
